core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[1\],102.58µm
net138,102.53µm
net296,102.53µm
se_out[3],102.5µm
net734,102.35µm
_2309_,102.29µm
sram2048.D\[4\],102.25µm
_2078_,102.2µm
_0747_,102.06µm
net222,101.83µm
net131,101.81µm
core_inst.servile.cpu.state.cnt_r\[0\],101.69µm
net806,101.61µm
net364,101.51µm
net279,101.51µm
net48,101.505µm
se_out[16],101.38µm
net64,101.215µm
net268,100.34µm
net640,100.28µm
west_in[8],100.26µm
_0185_,100.06µm
net645,99.97µm
_2197_,99.96µm
_0639_,99.4µm
nb_pop,99.27µm
se_in[4],99.19µm
_1368_,99.12µm
_2339_,98.94µm
net316,98.84µm
south_out[4],98.83µm
net378,98.71µm
net344,98.66µm
net347,98.66µm
net238,98.66µm
net187,98.655µm
core_inst.servile.cpu.decode.op21,98.61µm
net193,98.605µm
north_in[9],98.58µm
net308,98.43µm
core_inst.o_wb_dat\[6\],98.38µm
net295,98.375µm
net196,98.275µm
_0716_,98.09µm
net230,97.995µm
core_inst.rf_mem_if.o_wb_ack,97.88µm
east_out[21],97.46µm
net169,97.36µm
nw_in[17],96.95µm
nw_in[4],96.34µm
net152,96.21µm
net77,96.09µm
_0586_,95.675µm
_1771_,95.58µm
_0559_,95.35µm
se_out[0],95.34µm
nw_in[21],95.22µm
sw_in[9],95.22µm
net148,94.815µm
net159,94.745µm
net386,94.74µm
se_out[4],94.66µm
_1280_,94.6µm
core_inst.servile.cpu.state.cnt_r\[3\],94.38µm
net517,94.18µm
net326,94.08µm
core_inst.servile.rf_ram_if.rtrig0,94µm
core_inst.o_wb_dat\[2\],93.845µm
_1783_,93.72µm
net516,93.53µm
net642,93.39µm
_0551_,93.29µm
net191,93.11µm
_0972_,92.87µm
_2241_,92.805µm
net426,92.65µm
_0721_,92.49µm
east_out[3],92.42µm
net59,92.24µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[8\],92.17µm
sram2048.D\[6\],92.12µm
_1972_,92.05µm
net743,91.99µm
net255,91.89µm
south_out[22],91.86µm
router_inst.inject_flit\[20\],91.52µm
east_in[14],91.3µm
ne_in[18],91.3µm
_0904_,91.19µm
east_out[1],90.79µm
net56,90.78µm
se_in[22],90.74µm
south_out[3],90.74µm
net99,90.575µm
net302,90.485µm
_0883_,90.21µm
east_in[10],90.18µm
sw_in[4],90.18µm
_1283_,89.99µm
net141,89.77µm
net391,89.65µm
net234,89.65µm
net381,89.6µm
sram2048.q_bank1\[1\],89.46µm
net161,89.455µm
core_inst.servile.cpu.bne_or_bge,89.34µm
net359,89.14µm
se_in[3],89.06µm
se_out[19],89.06µm
_0671_,88.92µm
